Km_PFK_atp_c,P478
Km_PFK_f6p_c,P479
Km_PFK_fdp_c,P480
Km_PFK_h_c,P481
Keq_PFK,P482
kcat_PFL,P483
E_PFL,P484
Km_PFL_accoa_c,P485
Km_PFL_coa_c,P486
Km_PFL_for_c,P487
Km_PFL_pyr_c,P488
Keq_PFL,P489
kcat_PGI,P490
E_PGI,P491
Km_PGI_f6p_c,P492
Km_PGI_g6p_c,P493
Keq_PGI,P494
kcat_PGK,P495
E_PGK,P496
Km_PGK_13dpg_c,P497
Km_PGK_3pg_c,P498
Km_PGK_adp_c,P499
Km_PGK_atp_c,P500
Keq_PGK,P501
kcat_PGL,P502
E_PGL,P503
Km_PGL_6pgc_c,P504
Km_PGL_6pgl_c,P505
Km_PGL_h2o_c,P506
Km_PGL_h_c,P507
Keq_PGL,P508
kcat_PGM,P509
E_PGM,P510
Km_PGM_2pg_c,P511
Km_PGM_3pg_c,P512
Keq_PGM,P513
kcat_PIt2r,P514
E_PIt2r,P515
Km_PIt2r_h_c,P516
Km_PIt2r_h_e,P517
Km_PIt2r_pi_c,P518
Km_PIt2r_pi_e,P519
Keq_PIt2r,P520
kcat_PPC,P521
E_PPC,P522
Km_PPC_co2_c,P523
Km_PPC_h2o_c,P524
Km_PPC_h_c,P525
Km_PPC_oaa_c,P526
Km_PPC_pep_c,P527
Km_PPC_pi_c,P528
Keq_PPC,P529
kcat_PPCK,P530
E_PPCK,P531
Km_PPCK_adp_c,P532
Km_PPCK_atp_c,P533
Km_PPCK_co2_c,P534
Km_PPCK_oaa_c,P535
Km_PPCK_pep_c,P536
Keq_PPCK,P537
kcat_PPS,P538
E_PPS,P539
Km_PPS_amp_c,P540
Km_PPS_atp_c,P541
Km_PPS_h2o_c,P542
Km_PPS_h_c,P543
Km_PPS_pep_c,P544
Km_PPS_pi_c,P545
Km_PPS_pyr_c,P546
Keq_PPS,P547
kcat_PTAr,P548
E_PTAr,P549
Km_PTAr_accoa_c,P550
Km_PTAr_actp_c,P551
Km_PTAr_coa_c,P552
Km_PTAr_pi_c,P553
Keq_PTAr,P554
kcat_PYK,P555
E_PYK,P556
Km_PYK_adp_c,P557
Km_PYK_atp_c,P558
